,Unnamed: 0,Cantidad de características,Caracteristicas modelo,Puntaje (Sales_rmspe),Num_Corrida
52,4,28,"['DayOfWeek', 'Month', 'StateHoliday', 'Promo_fw', 'Close_bool_bw', 'State', 'Promo2Weeks', 'Store', 'SchoolHoliday_bw', 'CompetitionMonthsOpen', 'trend_DE', 'Min_TemperatureC', 'CompetitionDistance', 'Precipitationmm', 'BeforeStateHoliday_bool', 'StateHoliday_bool', 'Mean_TemperatureC', 'AfterStateHoliday_bool', 'Max_Wind_SpeedKm_h', 'Min_Humidity', 'BeforePromo', 'CloudCover', 'Mean_Humidity', 'BeforeSchoolHoliday', 'Mean_Wind_SpeedKm_h', 'BeforeClose_bool', 'Max_Humidity', 'AfterSchoolHoliday']",0.14229202270507812,3
63,6,42,"['Close_bool_bw', 'Assortment', 'CompetitionOpenSinceYear', 'DayOfWeek', 'StateHoliday_bool_fw', 'State', 'SchoolHoliday', 'Year', 'Week', 'Promo_bw', 'Promo_fw', 'SchoolHoliday_bw', 'StoreType', 'Promo2Weeks', 'Events', 'Day', 'Month', 'Close_bool_fw', 'CompetitionMonthsOpen', 'StateHoliday', 'Promo', 'Promo2', 'PromoInterval', 'Promo2SinceWeek', 'StateHoliday_bool_bw', 'Store', 'Promo2SinceYear', 'Max_TemperatureC', 'trend_DE', 'Mean_TemperatureC', 'AfterPromo', 'CompetitionDistance', 'StateHoliday_bool', 'Max_Wind_SpeedKm_h', 'Max_Humidity', 'Mean_Wind_SpeedKm_h', 'trend', 'BeforeSchoolHoliday', 'AfterClose_bool', 'BeforePromo', 'Precipitationmm', 'BeforeClose_bool']",0.14253118634223938,4
16,16,38,"['Promo2Weeks', 'Week', 'CompetitionMonthsOpen', 'Store', 'Close_bool_bw', 'Events', 'Assortment', 'CompetitionOpenSinceYear', 'SchoolHoliday', 'Promo_bw', 'Promo', 'Year', 'Day', 'StateHoliday_bool_bw', 'StoreType', 'Close_bool_fw', 'StateHoliday', 'State', 'Promo2SinceWeek', 'Promo_fw', 'Month', 'Promo2', 'Promo2SinceYear', 'SchoolHoliday_fw', 'PromoInterval', 'StateHoliday_bool_fw', 'Min_TemperatureC', 'Mean_Wind_SpeedKm_h', 'AfterStateHoliday_bool', 'Mean_Humidity', 'AfterPromo', 'Max_Wind_SpeedKm_h', 'Mean_TemperatureC', 'StateHoliday_bool', 'AfterSchoolHoliday', 'CloudCover', 'BeforeSchoolHoliday', 'Max_Humidity']",0.14276985824108124,0
123,3,45,"['CompetitionMonthsOpen', 'Week', 'StateHoliday', 'PromoInterval', 'StateHoliday_bool_fw', 'Promo_bw', 'Close_bool_fw', 'StoreType', 'DayOfWeek', 'Promo2', 'Close_bool_bw', 'SchoolHoliday_fw', 'Promo_fw', 'Promo2SinceWeek', 'Day', 'Events', 'Promo2Weeks', 'SchoolHoliday', 'SchoolHoliday_bw', 'State', 'CompetitionOpenSinceYear', 'Store', 'Promo', 'Month', 'Year', 'BeforeClose_bool', 'Min_Humidity', 'Mean_Humidity', 'Min_TemperatureC', 'Mean_TemperatureC', 'StateHoliday_bool', 'trend', 'CompetitionDistance', 'AfterSchoolHoliday', 'trend_DE', 'AfterStateHoliday_bool', 'BeforeStateHoliday_bool', 'Max_Humidity', 'AfterPromo', 'BeforeSchoolHoliday', 'Precipitationmm', 'Mean_Wind_SpeedKm_h', 'AfterClose_bool', 'Max_Wind_SpeedKm_h', 'BeforePromo']",0.142793670296669,11
70,4,30,"['CompetitionMonthsOpen', 'SchoolHoliday_bw', 'Week', 'StoreType', 'Store', 'StateHoliday_bool_fw', 'StateHoliday_bool_bw', 'Month', 'DayOfWeek', 'Promo_fw', 'StateHoliday', 'Promo2', 'Promo', 'BeforeClose_bool', 'Max_TemperatureC', 'trend', 'Min_TemperatureC', 'CompetitionDistance', 'Max_Humidity', 'Precipitationmm', 'Min_Humidity', 'Mean_Wind_SpeedKm_h', 'AfterSchoolHoliday', 'BeforeStateHoliday_bool', 'CloudCover', 'AfterStateHoliday_bool', 'trend_DE', 'BeforePromo', 'StateHoliday_bool', 'Max_Wind_SpeedKm_h']",0.14286868274211886,5
136,7,23,"['StateHoliday_bool_bw', 'Promo2SinceYear', 'Promo', 'State', 'SchoolHoliday_fw', 'Store', 'SchoolHoliday_bw', 'Week', 'DayOfWeek', 'StoreType', 'Month', 'Mean_TemperatureC', 'BeforeSchoolHoliday', 'AfterSchoolHoliday', 'BeforeStateHoliday_bool', 'Precipitationmm', 'AfterStateHoliday_bool', 'Max_TemperatureC', 'trend_DE', 'Min_Humidity', 'CloudCover', 'CompetitionDistance', 'Mean_Wind_SpeedKm_h']",0.14296506345272064,12
56,8,45,"['Assortment', 'State', 'Promo_fw', 'CompetitionOpenSinceYear', 'Promo2SinceYear', 'Store', 'StateHoliday_bool_bw', 'SchoolHoliday', 'StateHoliday', 'CompetitionMonthsOpen', 'Promo_bw', 'Events', 'StoreType', 'DayOfWeek', 'Close_bool_fw', 'Week', 'StateHoliday_bool_fw', 'Promo2', 'Promo2Weeks', 'Day', 'PromoInterval', 'Close_bool_bw', 'Month', 'Year', 'AfterSchoolHoliday', 'AfterPromo', 'trend_DE', 'trend', 'BeforeClose_bool', 'Mean_Humidity', 'StateHoliday_bool', 'CompetitionDistance', 'Max_Humidity', 'Precipitationmm', 'Mean_Wind_SpeedKm_h', 'AfterStateHoliday_bool', 'Max_Wind_SpeedKm_h', 'BeforePromo', 'BeforeStateHoliday_bool', 'AfterClose_bool', 'CloudCover', 'Max_TemperatureC', 'Min_Humidity', 'BeforeSchoolHoliday', 'Min_TemperatureC']",0.14315016567707062,3
127,7,44,"['StateHoliday_bool_bw', 'Store', 'Close_bool_bw', 'Promo2SinceYear', 'Promo_fw', 'StoreType', 'CompetitionOpenSinceYear', 'Day', 'SchoolHoliday_fw', 'PromoInterval', 'SchoolHoliday_bw', 'SchoolHoliday', 'Week', 'Promo_bw', 'Events', 'Promo2Weeks', 'Month', 'StateHoliday_bool_fw', 'Promo2', 'Year', 'DayOfWeek', 'Promo', 'CompetitionMonthsOpen', 'StateHoliday', 'State', 'AfterSchoolHoliday', 'AfterStateHoliday_bool', 'BeforeSchoolHoliday', 'Mean_TemperatureC', 'Min_TemperatureC', 'Min_Humidity', 'BeforePromo', 'StateHoliday_bool', 'trend_DE', 'Max_Wind_SpeedKm_h', 'CloudCover', 'BeforeStateHoliday_bool', 'BeforeClose_bool', 'Max_TemperatureC', 'AfterPromo', 'trend', 'Precipitationmm', 'Mean_Humidity', 'Mean_Wind_SpeedKm_h']",0.14325538277626038,11
137,8,25,"['StateHoliday_bool_bw', 'Promo2SinceYear', 'Promo', 'State', 'SchoolHoliday_fw', 'Store', 'SchoolHoliday_bw', 'Week', 'DayOfWeek', 'StoreType', 'Month', 'Max_Humidity', 'AfterPromo', 'BeforeSchoolHoliday', 'CompetitionDistance', 'StateHoliday_bool', 'Mean_Wind_SpeedKm_h', 'trend', 'Mean_Humidity', 'Max_TemperatureC', 'Precipitationmm', 'AfterClose_bool', 'BeforePromo', 'trend_DE', 'Max_Wind_SpeedKm_h']",0.14349830150604248,12
46,7,40,"['Year', 'PromoInterval', 'Promo', 'Week', 'StateHoliday', 'Promo_fw', 'StateHoliday_bool_bw', 'Promo_bw', 'Close_bool_bw', 'Month', 'Promo2SinceYear', 'DayOfWeek', 'Close_bool_fw', 'Assortment', 'SchoolHoliday', 'SchoolHoliday_bw', 'State', 'Promo2SinceWeek', 'Day', 'Events', 'Promo2Weeks', 'CompetitionOpenSinceYear', 'StoreType', 'StateHoliday_bool_fw', 'Store', 'Promo2', 'AfterSchoolHoliday', 'Mean_Humidity', 'CloudCover', 'BeforePromo', 'Min_Humidity', 'Max_Humidity', 'BeforeClose_bool', 'trend', 'CompetitionDistance', 'AfterPromo', 'BeforeSchoolHoliday', 'Mean_Wind_SpeedKm_h', 'BeforeStateHoliday_bool', 'AfterStateHoliday_bool']",0.1436040997505188,2
