,Cantidad de características,Caracteristicas modelo,Puntaje (Sales_rmspe)
20,36,"['Close_bool_bw', 'PromoInterval', 'Promo2', 'Promo_fw', 'Close_bool_fw', 'StateHoliday_bool_bw', 'Assortment', 'DayOfWeek', 'Year', 'CompetitionOpenSinceYear', 'SchoolHoliday_bw', 'Promo', 'Promo_bw', 'StateHoliday', 'State', 'Events', 'StateHoliday_bool_fw', 'Month', 'BeforeSchoolHoliday', 'Max_TemperatureC', 'trend_DE', 'AfterPromo', 'Mean_Wind_SpeedKm_h', 'CompetitionDistance', 'AfterSchoolHoliday', 'BeforeStateHoliday_bool', 'Min_TemperatureC', 'Max_Wind_SpeedKm_h', 'BeforeClose_bool', 'Mean_TemperatureC', 'CloudCover', 'StateHoliday_bool', 'BeforePromo', 'AfterStateHoliday_bool', 'trend', 'Max_Humidity']",0.3842793405056
21,32,"['Close_bool_bw', 'PromoInterval', 'Promo2', 'Promo_fw', 'Close_bool_fw', 'StateHoliday_bool_bw', 'Assortment', 'DayOfWeek', 'Year', 'CompetitionOpenSinceYear', 'SchoolHoliday_bw', 'Promo', 'Promo_bw', 'StateHoliday', 'State', 'Events', 'StateHoliday_bool_fw', 'Month', 'AfterClose_bool', 'BeforeSchoolHoliday', 'AfterStateHoliday_bool', 'StateHoliday_bool', 'Min_Humidity', 'CompetitionDistance', 'CloudCover', 'trend', 'AfterSchoolHoliday', 'Mean_Wind_SpeedKm_h', 'Max_Wind_SpeedKm_h', 'Mean_Humidity', 'Precipitationmm', 'Mean_TemperatureC']",0.32935571670532227
22,36,"['Close_bool_bw', 'PromoInterval', 'Promo2', 'Promo_fw', 'Close_bool_fw', 'StateHoliday_bool_bw', 'Assortment', 'DayOfWeek', 'Year', 'CompetitionOpenSinceYear', 'SchoolHoliday_bw', 'Promo', 'Promo_bw', 'StateHoliday', 'State', 'Events', 'StateHoliday_bool_fw', 'Month', 'AfterSchoolHoliday', 'BeforeStateHoliday_bool', 'Mean_TemperatureC', 'Min_Humidity', 'CloudCover', 'AfterStateHoliday_bool', 'Max_TemperatureC', 'AfterClose_bool', 'BeforePromo', 'Min_TemperatureC', 'Max_Humidity', 'BeforeSchoolHoliday', 'CompetitionDistance', 'StateHoliday_bool', 'trend_DE', 'BeforeClose_bool', 'Precipitationmm', 'Mean_Wind_SpeedKm_h']",0.31418582797050476
23,36,"['Close_bool_bw', 'PromoInterval', 'Promo2', 'Promo_fw', 'Close_bool_fw', 'StateHoliday_bool_bw', 'Assortment', 'DayOfWeek', 'Year', 'CompetitionOpenSinceYear', 'SchoolHoliday_bw', 'Promo', 'Promo_bw', 'StateHoliday', 'State', 'Events', 'StateHoliday_bool_fw', 'Month', 'Mean_TemperatureC', 'Precipitationmm', 'AfterPromo', 'trend_DE', 'Mean_Humidity', 'StateHoliday_bool', 'Min_Humidity', 'BeforeStateHoliday_bool', 'AfterClose_bool', 'Mean_Wind_SpeedKm_h', 'Max_Humidity', 'BeforePromo', 'Max_Wind_SpeedKm_h', 'CompetitionDistance', 'Min_TemperatureC', 'AfterSchoolHoliday', 'BeforeSchoolHoliday', 'Max_TemperatureC']",0.3203822672367096
24,39,"['Close_bool_bw', 'PromoInterval', 'Promo2', 'Promo_fw', 'Close_bool_fw', 'StateHoliday_bool_bw', 'Assortment', 'DayOfWeek', 'Year', 'CompetitionOpenSinceYear', 'SchoolHoliday_bw', 'Promo', 'Promo_bw', 'StateHoliday', 'State', 'Events', 'StateHoliday_bool_fw', 'Month', 'CloudCover', 'Max_Humidity', 'Precipitationmm', 'Max_TemperatureC', 'Min_TemperatureC', 'trend', 'Mean_Humidity', 'AfterPromo', 'trend_DE', 'BeforePromo', 'Min_Humidity', 'CompetitionDistance', 'AfterSchoolHoliday', 'Mean_Wind_SpeedKm_h', 'BeforeStateHoliday_bool', 'Mean_TemperatureC', 'Max_Wind_SpeedKm_h', 'BeforeSchoolHoliday', 'StateHoliday_bool', 'AfterStateHoliday_bool', 'BeforeClose_bool']",0.33134740591049194
25,39,"['Close_bool_bw', 'PromoInterval', 'Promo2', 'Promo_fw', 'Close_bool_fw', 'StateHoliday_bool_bw', 'Assortment', 'DayOfWeek', 'Year', 'CompetitionOpenSinceYear', 'SchoolHoliday_bw', 'Promo', 'Promo_bw', 'StateHoliday', 'State', 'Events', 'StateHoliday_bool_fw', 'Month', 'AfterPromo', 'BeforeStateHoliday_bool', 'BeforeClose_bool', 'AfterStateHoliday_bool', 'AfterSchoolHoliday', 'Min_Humidity', 'Min_TemperatureC', 'Max_Humidity', 'trend_DE', 'Max_Wind_SpeedKm_h', 'Max_TemperatureC', 'BeforePromo', 'AfterClose_bool', 'Mean_Wind_SpeedKm_h', 'Mean_TemperatureC', 'CompetitionDistance', 'CloudCover', 'StateHoliday_bool', 'Mean_Humidity', 'BeforeSchoolHoliday', 'trend']",0.3378015160560608
26,30,"['Close_bool_bw', 'PromoInterval', 'Promo2', 'Promo_fw', 'Close_bool_fw', 'StateHoliday_bool_bw', 'Assortment', 'DayOfWeek', 'Year', 'CompetitionOpenSinceYear', 'SchoolHoliday_bw', 'Promo', 'Promo_bw', 'StateHoliday', 'State', 'Events', 'StateHoliday_bool_fw', 'Month', 'Min_TemperatureC', 'Mean_Wind_SpeedKm_h', 'AfterStateHoliday_bool', 'Mean_Humidity', 'AfterPromo', 'Max_Wind_SpeedKm_h', 'Mean_TemperatureC', 'StateHoliday_bool', 'AfterSchoolHoliday', 'CloudCover', 'BeforeSchoolHoliday', 'Max_Humidity']",0.31862273812294006
27,28,"['Close_bool_bw', 'PromoInterval', 'Promo2', 'Promo_fw', 'Close_bool_fw', 'StateHoliday_bool_bw', 'Assortment', 'DayOfWeek', 'Year', 'CompetitionOpenSinceYear', 'SchoolHoliday_bw', 'Promo', 'Promo_bw', 'StateHoliday', 'State', 'Events', 'StateHoliday_bool_fw', 'Month', 'trend_DE', 'Max_Wind_SpeedKm_h', 'BeforePromo', 'Max_Humidity', 'Min_TemperatureC', 'trend', 'Precipitationmm', 'Min_Humidity', 'BeforeSchoolHoliday', 'StateHoliday_bool']",0.3444453179836273
28,28,"['Close_bool_bw', 'PromoInterval', 'Promo2', 'Promo_fw', 'Close_bool_fw', 'StateHoliday_bool_bw', 'Assortment', 'DayOfWeek', 'Year', 'CompetitionOpenSinceYear', 'SchoolHoliday_bw', 'Promo', 'Promo_bw', 'StateHoliday', 'State', 'Events', 'StateHoliday_bool_fw', 'Month', 'Precipitationmm', 'Min_Humidity', 'Max_Wind_SpeedKm_h', 'CloudCover', 'CompetitionDistance', 'BeforePromo', 'BeforeStateHoliday_bool', 'BeforeClose_bool', 'AfterPromo', 'Min_TemperatureC']",0.3317486047744751
29,36,"['Close_bool_bw', 'PromoInterval', 'Promo2', 'Promo_fw', 'Close_bool_fw', 'StateHoliday_bool_bw', 'Assortment', 'DayOfWeek', 'Year', 'CompetitionOpenSinceYear', 'SchoolHoliday_bw', 'Promo', 'Promo_bw', 'StateHoliday', 'State', 'Events', 'StateHoliday_bool_fw', 'Month', 'Precipitationmm', 'AfterPromo', 'AfterStateHoliday_bool', 'Min_TemperatureC', 'Max_Humidity', 'trend_DE', 'BeforePromo', 'Mean_Humidity', 'Min_Humidity', 'CloudCover', 'Max_Wind_SpeedKm_h', 'Mean_Wind_SpeedKm_h', 'AfterSchoolHoliday', 'BeforeStateHoliday_bool', 'BeforeClose_bool', 'trend', 'StateHoliday_bool', 'Max_TemperatureC']",0.3482958674430847
